Company,Brief Description,Protein Category,Company Focus,Company type,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Region,State,City,Website,Year Founded,Founders,Logo
FrieslandCampina,"Dutch multinational dairy cooperative that has launched plant-based milks. In 2023, launched plant-based chicken brand Tender'lish. ",Plant-based,Dairy,Diversified,End product formulation and manufacturing,Milk,,"Oat,Soy",Europe,Netherlands,,Amersfoort,https://www.frieslandcampina.com/,2008,,logo-fc-full.svg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/Tg3uMBRitigAguBL0qF3_A/iR5vowCsEncGcAhcxNrWVszk4G1LO5nx0uhyKps--8LseWCX-o817MPf_4c8f3FJlYRPstiZlibULyimpFU1UbsYt1XYpV-EqTHcjiSvWzBZjHSBSVVf5Nq3UNzyODsjU8Ro2JRVRs3fdfHI3IWjQQ/j2zvwRTylMGhxfEObsnm_Japb4qeY3pp6zlfbEaeheE)
Finless Foods,U.S.-based company working on plant-based fish and cultivated blue fin tuna,"Cultivated,Plant-based","Meat,Seafood",Specialized (focused on alternative proteins),"Cell culture media,End product formulation and manufacturing",Whole muscle meat/seafood,Fish,,U.S. and Canada,United States,California,San Francisco,https://finlessfoods.com/,2017,"Mike Selden, Brian Wyrwas",Capture.JPG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/nLNZFIU-kl24aajV9GLVvQ/LP9jHcdV9VxzZ87FECoDy6VhVaqC4LnARFc9rw00vNA468S8g14PbTm_752DBdegSrpKgAx33gx2GmKujlay9uqZr2Z6ns4xoyFVw7RY7mhu9NYTUnrzBhEKBqbWnu-lu0otyqSEciz_hNQoGcLYww/hVC5thz8Z_NmHLnvUMEO_6dnatA30yShUoITJa9jdJ0)
Avant Meats,"Hong Kong-based company using proprietary biotechnology platform to produce cultivated fish products, including food, skincare, and other functional applications",Cultivated,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Fish,,Asia Pacific,Mainland China,,Hong Kong SAR ,https://www.avantmeats.com/,2018,"Carrie Chan, Mario Chin",tbnkq9whzxvh5fxpj6uj.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/9FR4VKSongtb4HvDJ12g6w/kDkqWhXpFZtVqoH2DrztU0n9g0WpE0TY5kCxbULM5JhdW9Lw0xSBikeeuhObogABFP9c5NlAks2JF55wFxep-WXRRPupqyuRXfi_X9Z6o4q2S1cwYj-9H1tG9X5YFJmYaNKTz2hEjOK3Uh9R4JxriGPpW7m2hUxo-sZvl5208xU/nhc4HxWyscty8Qpp1Cm9rSPvMcQ7ntPJ_ysD8mdI2tQ)
Upside Foods ,"U.S.-based cultivated meat startup producing beef, duck, and chicken product prototypes ",Cultivated,Meat,Specialized (focused on alternative proteins),"Cell line development,End product formulation and manufacturing",,"Duck,Beef/veal,Chicken",,U.S. and Canada,United States,California,San Leandro,http://www.memphismeats.com/,2015,"Uma Valeti, Nicholas Genovese, Will Clem",Horizontal_Black.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/BKaaWQiCH_Lpnu6m8Vrkkg/hh8rect9mXLS7bAXc1Re_-5lY4X1c-msfW4mRW25K1J3ZAKtQmfacWAx3RmC8Y74FRkCGSQ1wxj59EqwfDXCyobl8hIUMC9w0icXqJnpGWD6GU9Atuz4-AV1W4DZ_Cgkk_tNTNCjBOAdBGmYBXq6lA/Tfdob934fAtv_1U5OvyVS3Me3ByYudMgbwh5YSf4iiY)
BioTech Foods,"Spain-based startup producing cultivated meat products, acquired by Brazil-based JBS in 2021",Cultivated,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Beef/veal,,Europe,Spain,,San Sebastián,https://biotech-foods.com/,2017,Mercedes Vila Juarez,dko8ln1xykb67qgiek0w.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/k1v_-sAi_o21OczvLh21bQ/Ru57AFfB_XDjCDZeM6KFNk1734hqPc6xdJdsSk3oxMQxQeup1T8rsQQQEaTsYQxA39QCa6EUXXmnCiFsrolkuSbxVSneeI2jMdAkxCBVcGX2yuzanHfR3BVOhIvTvPOwrJsB1-51xzxFQw2SRmkoGufzyd7Hc0ZA9Rgp8I_6Z94/P4yZdnFMQCR5FPDPitZKxNp8OjAdFtnIv5UC53djSUw)
Aleph Farms,Israel-based company producing cultivated beef steak,Cultivated,Meat,Specialized (focused on alternative proteins),"End product formulation and manufacturing,Scaffolding and structure","Ground meat/seafood,Whole muscle meat/seafood",Beef/veal,,Africa/Middle East,Israel,,Rehovot,https://www.aleph-farms.com/,2017,"Didier Toubia, Prof. Shulamit Levenberg",fwhce84ehyiy1hxs6qro.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/HBbFPoCAU3Ig5tHlAYMLJw/V0Me3eQqvj8bxjh8I1uN07_lP1avZfi5KUdJhT9RQ3IBLqfmDfIIPkQVTCfVcv86nryYueQyeQZl9nVGRAMACPrlnpd1GjwdtInHGaLn0DXiWCyq1Jd768lhFLiXNK-PPcB4zYzhSA_1465CVl8mMRDCv-ZUTE9t2RGdHHf2jKM/F46W3mhcmQFNok7i-tK0D1a_JgdCZltMnedXlAYyu60)
SCiFi Foods,U.S.-based start-up working on cultivated and cultured meat products (formerly Artemys Foods) ,Cultivated,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Beef/veal,,U.S. and Canada,United States,California,San Francisco,https://scififoods.com/,2019,"Jessica Krieger, Joshua March",ncvgvj1raxbf6q4zpkgv.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/Szb8_C-qZWJWIN_ERJBIcw/ivy-8mAvxwSGFX2qNx8ukBzsV9rAgbb34nNd967U7YbqqO3LKiTeBIBVXk2HkSIOcXw9p8edJWYQSC3YFPwe4BsmmdEA7BAZFu2HTutgZIFZbYtgT92NRTpmpod-_mMBUAtLBK1SSXOGpOnvZ-oHLrCmWJvWac2a8rQRY6RNLYE/j9PBoCNTYTi0uiTOJc4XNpB4-WSb_c2B__TauR_FC4k)
Matrix F.T. ,Startup making 3D nanofiber tubes for cultivated meat production.,Cultivated,Meat,Specialized (focused on alternative proteins),Scaffolding and structure,,,,U.S. and Canada,United States,Ohio,Dublin,https://www.matrixmeats.com/,2019,Flavio Lobato,MATRIXFT_Logo.jpeg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/htzthSQyQXx4RnkWirDjqA/lDv8f5BNkpjqKfx5uZRANHO-Wp-IIohUM_lwrZFgJyye0AGt44a9OVFp5IpB406ABI26CX8VPvxpdv6j2qMG6CYEtF72xfHnXaX443wBtXOnWtQRIKp8TtFMAWeQ92VuMlHe10ufaQmXDyjGPH30mQ/Zy0BC0eae696UaUhXraVrsONB8vJ1WgTN5kYCkfOFEg)
Shiok Meats,"Singapore-based company producing cultivated seafood, including crustaceans like shrimps, crabs, and lobsters",Cultivated,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,"Fish,Shellfish,Crab",,Asia Pacific,Singapore,,Singapore,https://shiokmeats.com/,2018,"Sandhya Sriram, Ka Yi Ling",Screen Shot 2021-02-08 at 2_19_19 PM.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/pAlh2Ebp6nq_FHLL_3ruNw/vu4T5rBhjX1a33eZ4JUbHlIlTOxtjGrj4IphWsoJodIZAuIE0OpLAO4uxAsepmuQD1ltD7qb1vHlOas9HnXZ3XMn9qL5s2VXDDKKa7_-CqaLby87az1MxK22AAE6fvMNcGGI3kG-2YMcpXf4ZSRf_5p7PcJTo_d3CgcRea0S1d8/ddn-JVUuzXgMBslzmm439cmOb5szsCRZgigdkJU1aNg)
Newform Foods ,"Formerly known as Mzansi Meat Co., Newform Foods' mission is to reinvent food systems for the benefit of our planet, our health and the lives of animals.",Cultivated,Meat,Specialized (focused on alternative proteins),"Cell culture media,End product formulation and manufacturing",Whole muscle meat/seafood,"Beef/veal,Chicken",,Africa/Middle East,South Africa,,Cape Town,https://newformfoods.co.uk/,2020,"Jay Van Der Walt, Brett Thompson",Screenshot 2023-08-25 at 2.54.40 PM.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/VKBRkqgM6zZhw-SYrrrY9A/oh-nSYmJvq1CgPNiRKA8tOmPSd7bg61W98PxfMgQUA-Sq0FGQdWTDcJVD4Etg7OSpYPlRkVydblKwE7XX0AQW2BtrkzbK_Tm_sw61FNqxYbAFM9ydby9d2OAra9iVMpfWoiRt4Rq-XLZU3EipxEZRwemO-243uc4oWhxeUndTcc/LZLEYOI30P5bdXi9IBba0ENTfivgjhuqj39fxA8PQ6o)
